Name,Text
GetNamedSession,Its purpose is to retrieve a pointer to a session object (FNamedOnlineSession) by its name.
DestroySession,This method is used to destroy an existing online session identified by its name
AddOnCreateSessionCompleteDelegate_Handle,This is a method that registers a delegate (a callback function) to be executed when the session creation process is complete.
CreateSession,This method is used to create a new online session
FindSessions,Searches for sessions matching the settings specified
JoinSession,Joins the session specified
GetResolvedConnectString,Returns the platform specific connection information for joining the match
